netflix_id,imdb_id,title
81327516,tt0073486,One
879522,tt0054215,Psycho
70299275,tt2582802,Whiplash
557010,tt0095327,Grave of the Fireflies
70024111,tt0364569,Oldboy
60029681,tt0086250,Scarface
60034545,tt0338013,Eternal Sunshine of the Spotless Mind
81140931,tt8579674,1917
994992,tt0092005,Stand by Me
431994,tt0077416,The Deer Hunter
81002196,tt0032976,Rebecca
81310261,tt2267998,Girl&#39;s Revenge
