imdb_id,director
tt0015864,Charles Chaplin
tt26548265,Nithilan Saminathan
tt0198781,Pete Docter
tt0198781,David Silverman
tt0198781,Lee Unkrich
tt3011894,Damián Szifron
tt0382932,Brad Bird
tt0382932,Jan Pinkava
tt0077416,Michael Cimino
tt0892769,Dean DeBlois
tt0892769,Chris Sanders
tt0073195,Steven Spielberg
tt0015324,Buster Keaton
tt0017925,Clyde Bruckman
tt0017925,Buster Keaton
tt0978762,Adam Elliot
tt0047296,Elia Kazan
tt0046268,Henri-Georges Clouzot
tt1950186,James Mangold
tt0050986,Ingmar Bergman
tt0031679,Frank Capra
tt0041959,Carol Reed
tt3315342,James Mangold
tt0075148,John G. Avildsen
tt0046438,Yasujirô Ozu
tt0118715,Joel Coen
tt0118715,Ethan Coen
tt0050976,Ingmar Bergman
tt3170832,Lenny Abrahamson
tt1895587,Tom McCarthy
tt0088247,James Cameron
tt0395169,Terry George
tt0091763,Oliver Stone
tt0325980,Gore Verbinski
tt0113247,Mathieu Kassovitz
tt15097216,T.J. Gnanavel
tt0381681,Richard Linklater
tt0019254,Carl Theodor Dreyer
tt0036868,William Wyler
tt0070047,William Friedkin
tt0049902,Robert Bresson
tt1979320,Ron Howard
tt0317705,Brad Bird
tt0032138,Victor Fleming
tt0032138,King Vidor
tt0074958,Sidney Lumet
tt0092005,Rob Reiner
tt1028532,Lasse Hallström
tt0059742,Robert Wise
tt0476735,Çagan Irmak
tt0035446,Ernst Lubitsch
tt4016934,Park Chan-wook
tt0758758,Sean Penn
tt0058946,Gillo Pontecorvo
tt0129167,Brad Bird
tt0032551,John Ford
tt0107048,Harold Ramis
tt0245712,Alejandro G. Iñárritu
tt0032976,Alfred Hitchcock
tt1454029,Tate Taylor
tt0061512,Stuart Rosenberg
tt5323662,Taichi Ishidate
tt5323662,Naoko Yamada
