imdb_id,actor
tt0086879,Tom Hulce
tt0086879,Elizabeth Berridge
tt0114709,Tom Hanks
tt0114709,Tim Allen
tt0114709,Don Rickles
tt0057012,Peter Sellers
tt0057012,George C. Scott
tt0057012,Sterling Hayden
tt0364569,Choi Min-sik
tt0364569,Yoo Ji-tae
tt0364569,Kang Hye-jeong
tt0169547,Kevin Spacey
tt0169547,Annette Bening
tt0169547,Thora Birch
tt4154796,Robert Downey Jr.
tt4154796,Chris Evans
tt4154796,Mark Ruffalo
tt0082096,Jürgen Prochnow
tt0082096,Herbert Grönemeyer
tt0082096,Klaus Wennemann
tt0119217,Robin Williams
tt0119217,Matt Damon
tt0119217,Ben Affleck
tt0112573,Mel Gibson
tt0112573,Sophie Marceau
tt0112573,Patrick McGoohan
tt0119698,Yôji Matsuda
tt0119698,Yuriko Ishida
tt0119698,Yûko Tanaka
tt5311514,Ryunosuke Kamiki
tt5311514,Mone Kamishiraishi
tt5311514,Ryo Narita
tt7286456,Joaquin Phoenix
tt7286456,Robert De Niro
tt7286456,Zazie Beetz
tt0057565,Toshirô Mifune
tt0057565,Yutaka Sada
tt0057565,Tatsuya Nakadai
tt1187043,Aamir Khan
tt1187043,Madhavan
tt1187043,Mona Singh
tt0087843,Robert De Niro
tt0087843,James Woods
tt0087843,Elizabeth McGovern
tt0045152,Gene Kelly
tt0045152,Donald O'Connor
tt0045152,Debbie Reynolds
tt8267604,Zain Al Rafeea
tt8267604,Yordanos Shiferaw
tt8267604,Boluwatife Treasure Bankole
tt0091251,Aleksey Kravchenko
tt0091251,Olga Mironova
tt0091251,Liubomiras Laucevicius
tt0180093,Ellen Burstyn
tt0180093,Jared Leto
tt0180093,Jennifer Connelly
tt0435761,Tom Hanks
tt0435761,Tim Allen
tt0435761,Joan Cusack
tt0086190,Mark Hamill
tt0086190,Harrison Ford
tt0086190,Carrie Fisher
tt2106476,Mads Mikkelsen
tt2106476,Thomas Bo Larsen
tt2106476,Annika Wedderkopp
tt0338013,Jim Carrey
tt0338013,Kate Winslet
tt0338013,Tom Wilkinson
tt0044741,Takashi Shimura
tt0044741,Nobuo Kaneko
tt0044741,Shin'ichi Himori
tt0062622,Keir Dullea
tt0062622,Gary Lockwood
tt0062622,William Sylvester
tt0105236,Harvey Keitel
tt0105236,Tim Roth
tt0105236,Michael Madsen
tt0056172,Peter O'Toole
tt0056172,Alec Guinness
tt0056172,Anthony Quinn
tt0053604,Jack Lemmon
tt0053604,Shirley MacLaine
tt0053604,Fred MacMurray
tt1255953,Lubna Azabal
tt1255953,Mélissa Désormeaux-Poulin
tt1255953,Maxim Gaudette
tt0086250,Al Pacino
tt0086250,Michelle Pfeiffer
tt0086250,Steven Bauer
tt0053125,Cary Grant
tt0053125,Eva Marie Saint
tt0053125,James Mason
tt0036775,Fred MacMurray
tt0036775,Barbara Stanwyck
tt0036775,Edward G. Robinson
tt0033467,Orson Welles
tt0033467,Joseph Cotten
tt0033467,Dorothy Comingore
tt0022100,Peter Lorre
tt0022100,Ellen Widmann
tt0022100,Inge Landgut
tt0052357,James Stewart
tt0052357,Kim Novak
tt0052357,Barbara Bel Geddes
tt0113277,Al Pacino
tt0113277,Robert De Niro
tt0113277,Val Kilmer
tt0093058,Matthew Modine
tt0093058,R. Lee Ermey
tt0093058,Vincent D'Onofrio
tt15398776,Cillian Murphy
tt15398776,Emily Blunt
tt15398776,Matt Damon
tt1049413,Edward Asner
tt1049413,Jordan Nagai
tt1049413,John Ratzenberger
tt0211915,Audrey Tautou
tt0211915,Mathieu Kassovitz
tt0211915,Rufus
tt0066921,Malcolm McDowell
tt0066921,Patrick Magee
tt0066921,Michael Bates
tt0056592,Gregory Peck
tt0056592,John Megna
tt0056592,Frank Overton
tt1832382,Payman Maadi
tt1832382,Leila Hatami
tt1832382,Sareh Bayat
tt0070735,Paul Newman
tt0070735,Robert Redford
tt0070735,Robert Shaw
tt0095016,Bruce Willis
tt0095016,Alan Rickman
tt0095016,Bonnie Bedelia
tt0986264,Darsheel Safary
tt0986264,Aamir Khan
tt0986264,Tisca Chopra
tt0097576,Harrison Ford
tt0097576,Sean Connery
tt0097576,Alison Doody
tt0017136,Brigitte Helm
tt0017136,Alfred Abel
tt0017136,Gustav Fröhlich
tt0208092,Jason Statham
tt0208092,Brad Pitt
tt0208092,Stephen Graham
tt8579674,Dean-Charles Chapman
tt8579674,George MacKay
tt8579674,Daniel Mays
tt0119488,Kevin Spacey
tt0119488,Russell Crowe
tt0119488,Guy Pearce
tt0040522,Lamberto Maggiorani
tt0040522,Enzo Staiola
tt0040522,Lianella Carell
tt0363163,Bruno Ganz
tt0363163,Alexandra Maria Lara
tt0363163,Ulrich Matthes
tt8503618,Lin-Manuel Miranda
tt8503618,Phillipa Soo
tt8503618,Leslie Odom Jr.
tt0075314,Robert De Niro
tt0075314,Jodie Foster
tt0075314,Cybill Shepherd
tt5074352,Aamir Khan
tt5074352,Sakshi Tanwar
tt5074352,Fatima Sana Shaikh
tt0993846,Leonardo DiCaprio
tt0993846,Jonah Hill
tt0993846,Margot Robbie
tt0372784,Christian Bale
tt0372784,Michael Caine
tt0372784,Ken Watanabe
tt0059578,Clint Eastwood
tt0059578,Lee Van Cleef
tt0059578,Gian Maria Volontè
tt6966692,Viggo Mortensen
tt6966692,Mahershala Ali
tt6966692,Linda Cardellini
tt0053291,Marilyn Monroe
tt0053291,Tony Curtis
tt0053291,Jack Lemmon
tt0120382,Jim Carrey
tt0120382,Ed Harris
tt0120382,Laura Linney
tt0055031,Spencer Tracy
tt0055031,Burt Lancaster
tt0055031,Richard Widmark
tt0012349,Charles Chaplin
tt0012349,Edna Purviance
tt0012349,Jackie Coogan
tt10272386,Anthony Hopkins
tt10272386,Olivia Colman
tt10272386,Mark Gatiss
tt1130884,Leonardo DiCaprio
tt1130884,Emily Mortimer
