imdb_id,imdb_rank,title,year,runtime,rated,imdb_rating
tt0111161,1,The Shawshank Redemption,1994,142,R,9.3
tt0068646,2,The Godfather,1972,175,R,9.2
tt0468569,3,The Dark Knight,2008,152,PG-13,9.0
tt0071562,4,The Godfather Part II,1974,202,R,9.0
tt0050083,5,12 Angry Men,1957,96,Approved,9.0
tt0167260,6,The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0
tt0108052,7,Schindler's List,1993,195,R,9.0
tt0110912,8,Pulp Fiction,1994,154,R,8.9
tt0120737,9,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.9
tt0060196,10,"The Good, the Bad and the Ugly",1966,178,R,8.8
tt0109830,11,Forrest Gump,1994,142,PG-13,8.8
tt0167261,12,The Lord of the Rings: The Two Towers,2002,179,PG-13,8.8
tt0137523,13,Fight Club,1999,139,R,8.8
tt1375666,14,Inception,2010,148,PG-13,8.8
tt0080684,15,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7
tt0133093,16,The Matrix,1999,136,R,8.7
tt0099685,17,Goodfellas,1990,145,R,8.7
tt0073486,18,One Flew Over the Cuckoo's Nest,1975,133,R,8.7
tt0816692,19,Interstellar,2014,169,PG-13,8.7
tt0114369,20,Se7en,1995,127,R,8.6
tt0038650,21,It's a Wonderful Life,1946,130,PG,8.6
tt0047478,22,Seven Samurai,1954,207,Not Rated,8.6
tt0102926,23,The Silence of the Lambs,1991,118,R,8.6
tt0120815,24,Saving Private Ryan,1998,169,R,8.6
tt0317248,25,City of God,2002,130,R,8.6
tt0120689,26,The Green Mile,1999,189,R,8.6
tt0118799,27,Life Is Beautiful,1997,116,PG-13,8.6
tt0103064,28,Terminator 2: Judgment Day,1991,137,R,8.6
tt0076759,29,Star Wars: Episode IV - A New Hope,1977,121,PG,8.6
tt0088763,30,Back to the Future,1985,116,PG,8.5
tt0245429,31,Spirited Away,2001,124,PG,8.6
tt0253474,32,The Pianist,2002,150,R,8.5
tt6751668,33,Parasite,2019,132,R,8.5
tt0054215,34,Psycho,1960,109,R,8.5
tt0172495,35,Gladiator,2000,155,R,8.5
tt0110357,36,The Lion King,1994,88,G,8.5
tt0407887,37,The Departed,2006,151,R,8.5
tt9362722,38,Spider-Man: Across the Spider-Verse,2023,140,PG,8.6
tt0095327,39,Grave of the Fireflies,1988,88,Not Rated,8.5
tt2582802,40,Whiplash,2014,106,R,8.5
tt0120586,41,American History X,1998,119,R,8.5
tt0110413,42,Léon: The Professional,1994,110,R,8.5
tt0482571,43,The Prestige,2006,130,PG-13,8.5
tt0056058,44,Harakiri,1962,133,Not Rated,8.6
tt0034583,45,Casablanca,1942,102,PG,8.5
tt0114814,46,The Usual Suspects,1995,106,R,8.5
tt1675434,47,The Intouchables,2011,112,R,8.5
tt0095765,48,Cinema Paradiso,1988,174,PG,8.5
tt15239678,49,Dune: Part Two,2024,166,PG-13,8.5
tt0027977,50,Modern Times,1936,87,G,8.5
tt0078748,51,Alien,1979,117,R,8.5
tt0047396,52,Rear Window,1954,112,PG,8.5
tt0064116,53,Once Upon a Time in the West,1968,166,PG-13,8.5
tt1853728,54,Django Unchained,2012,165,R,8.5
tt0021749,55,City Lights,1931,87,G,8.5
tt0078788,56,Apocalypse Now,1979,147,R,8.4
tt0209144,57,Memento,2000,113,R,8.4
tt0910970,58,WALL·E,2008,98,G,8.4
tt0405094,59,The Lives of Others,2006,137,R,8.4
tt0043014,61,Sunset Boulevard,1950,110,Approved,8.4
tt4154756,62,Avengers: Infinity War,2018,149,PG-13,8.4
tt0050825,63,Paths of Glory,1957,88,Approved,8.4
tt4633694,64,Spider-Man: Into the Spider-Verse,2018,117,PG,8.4
tt0051201,65,Witness for the Prosecution,1957,116,Approved,8.4
tt0081505,66,The Shining,1980,146,R,8.4
tt0032553,67,The Great Dictator,1940,125,G,8.4
tt0090605,68,Aliens,1986,137,R,8.4
tt0361748,69,Inglourious Basterds,2009,153,R,8.4
tt1345836,70,The Dark Knight Rises,2012,164,PG-13,8.4
tt2380307,71,Coco,2017,105,PG,8.4
tt0086879,72,Amadeus,1984,160,PG,8.4
tt0114709,73,Toy Story,1995,81,G,8.3
tt0057012,74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,8.3
tt0364569,75,Oldboy,2003,120,R,8.3
tt0169547,76,American Beauty,1999,122,R,8.3
tt4154796,77,Avengers: Endgame,2019,181,PG-13,8.4
tt0082096,78,Das Boot,1981,149,R,8.4
tt0119217,79,Good Will Hunting,1997,126,R,8.3
tt0112573,80,Braveheart,1995,178,R,8.3
tt0119698,81,Princess Mononoke,1997,133,PG-13,8.3
tt5311514,82,Your Name.,2016,106,TV-PG,8.4
tt7286456,83,Joker,2019,122,R,8.4
tt0057565,84,High and Low,1963,143,Not Rated,8.4
tt1187043,85,3 Idiots,2009,170,PG-13,8.4
