Title,Streaming On,Price,IMDb_URL
Paths of glory,Apple TV,"From Rp 25.000,00",
Spider-man: into the spider-verse,Max,Subscription,https://www.imdb.com/title/tt4633694
Spider-man: into the spider-verse,Vidio,Subscription,https://www.imdb.com/title/tt4633694
Spider-man: into the spider-verse,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt4633694
Spider-man: into the spider-verse,Apple TV,Subscription,https://www.imdb.com/title/tt4633694
Witness for the prosecution,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0051201
The shining,Max,Subscription,https://www.imdb.com/title/tt0081505
The shining,Apple TV,Subscription,https://www.imdb.com/title/tt0081505
The great dictator,Not Available,Not Available,Not Available
Aliens,Not Available,Not Available,Not Available
Inglourious basterds,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0361748
Inglourious basterds,Apple TV,Subscription,https://www.imdb.com/title/tt0361748
Inglourious basterds,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0361748
The dark knight rises,Max,Subscription,https://www.imdb.com/title/tt1345836
The dark knight rises,Apple TV,Subscription,https://www.imdb.com/title/tt1345836
The dark knight rises,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt1345836
Coco,Not Available,Not Available,Not Available
Amadeus,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0086879
Toy story,Not Available,Not Available,Not Available
Dr. strangelove or: how i learned to stop worrying and love the bomb,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0057012
Oldboy,Not Available,Not Available,Not Available
American beauty,Google Play Movies & TV,"From Rp 25.000,00",
American beauty,Apple TV,"From Rp 25.000,00",
Avengers: endgame,Not Available,Not Available,Not Available
Das boot,Not Available,Not Available,Not Available
Good will hunting,Max,Subscription,https://www.imdb.com/title/tt0119217
Good will hunting,Apple TV,Subscription,https://www.imdb.com/title/tt0119217
Braveheart,Not Available,Not Available,Not Available
Princess mononoke,Netflix,Subscription,https://www.imdb.com/title/tt0119698
Your name.,Apple TV,"From Rp 29.000,00",
Joker,Max,Subscription,
Joker,Apple TV,Subscription,
Joker,Google Play Movies & TV,Subscription,
High and low,Netflix,Subscription,https://www.imdb.com/title/tt5659172
3 idiots,Apple TV,"From Rp 25.000,00",
Once upon a time in america,Not Available,Not Available,Not Available
Singin' in the rain,Not Available,Not Available,Not Available
Capernaum,Not Available,Not Available,Not Available
Come and see,Not Available,Not Available,Not Available
